Expression,Definition,Context,Remarks
Hop on the last rattler,To die,Euphemistic,"""Rattler"" is a slang expression for a freight train."
Have one foot in the grave,To be close to death because of illness or age,"Informal, sometimes humorous",
Have bought it,"See ""buy the farm"" above",Slang,
Hara-kiri,(Ritual) suicide by disembowelment,Japanese,See Seppuku. Often misspelt as Hari-kari.
Hand in one's dinner pail,To die,Informal,A dinner pail is a bucket in which a workman used to carry his dinner. See 'kick the bucket' below.
Go west,To be killed or lost,Informal,Refers to the sun setting at the west.
"Go to, or head for, the last roundup",To die,Euphemistic,"Associated with dying cowboys, along with ""Going to that big ranch in the sky."""
Go to the big ,To die and go to heaven,Informal,"'Location' is a fancied venue in the afterlife that parallels an earthly venue associated with the deceased, such as ""Big ranch in the sky"".[10]"
Go to one's watery grave,To die of drowning,Literary,The death is referred to as a watery grave.
Go to one's reward,To die,Euphemistic,This phrase comes from the idea that people get their just desserts after they die.
Go to Davy Jones's locker,To drown or otherwise die at sea,Euphemistic,Peregrine Pickle describes Davy Jones as 'the fiend that presides over all the evil sprits of the deep'.
Go to a Texas cakewalk,To be hanged,Unknown,
Go to a better place,To die,Euphemistic,"Reference to going to heaven, which is perceived to be better than Earth."
Go the way of all flesh,To die,Neutral,Also means to come to an end. In the Authorized King James Version of the bible 'all flesh' means 'all humans and animals'.
Go over the Big Ridge,To die,Unknown,
Go out with one's boots on/with a bang/in style,To die while doing something enjoyed,Informal,
Go home in a box,"To be shipped to one's birthplace, dead","Slang, euphemistic[4]",Often exaggerated
Go for a Burton,To die / break irreparably,Informal,British. From WWII (Gone for a Burton).
Go bung,To die,Informal,Australian. Also means 'to fail' or 'to go bankrupt'.
Glue factory,Usually refers to the death of a horse,Neutral,
Give up the ghost,To die,Neutral,Also means 'to stop working' or 'to give up hope'. The Old English meaning of the word 'ghost' is preserved in this idiom.
Genocide,To completely exterminate all of a kind of something,Formal,All of it is gone
Free one's horses,To die,Neutral,
Fratricide,The act of killing your own brother or sister,Formal,
Food for worms,Someone who is dead,Slang,Also 'worm food'
Fall off one's perch,To die,Informal,
Fading away,To be thinner and weaker and close to death.,Neutral,Also 'to be fading fast' or 'sinking fast'
Extinct,When a species as a whole ceases to exist,Formal,
Exterminate!,Order to kill,TV/Movie,Spoken by Daleks (from Doctor Who) when under orders to kill
Euthanasia,Assisted suicide,Formal,"As slang, 'to euthanize'"
Erased,Murdered,Literary,
Drop like flies,Dying in droves,Simile,This expression could also mean that they're simply just ill and not necessarily dying.
Drop dead,Die suddenly,Neutral,'Just drop dead' is a rude way of telling someone to get lost.
Done for,About to die,Neutral,Also means 'to be in a bad situation of which one cannot get out'.[2]
Die with one's boots on,"To die while able, or during activity, as opposed to in infirmity or while asleep.",Euphemistic,"Old West usage: To die in a gunfight, as with the film They Died with Their Boots On. Also connotes dying in combat."
Didn't make it,Killed in Action (see below),Euphemistic,
Destroyed/to be destroyed,To be euthanized,Neutral,Usually refers to the unnatural death of a pet
Depart this life,To die,Neutral,
Deleted,Murdered,Literary,
Death by Misadventure,Avoidable death,Formal/Legal,A death that could have been avoided with due diligence
Dead as a doornail,Obviously dead,Informal,Charles Dickens used this phrase at the beginning of A Christmas Carol.
Dead as a dodo,Dead,Informal,"The term 'dodo' originally comes from the Portuguese word doudo, meaning simpleton. It was applied to the extinct bird because their supposed lack of intelligence led to their extinction. Therefore, it has been used as an old-fashioned or stupid person since 19th century.[2] Also 'dead as the dodo'."
Curtains,Death,Theatrical,The final curtain indicates the end of the play - hence the term became synonymous with death.
Crossed the Jordan,Died,Biblical/Revivalist,The departed one has entered the Promised Land (i.e. Heaven)
Croak,To die,Slang,Also means to die.
Counting worms,Dead,Euphemistic,
Come to a sticky end,To die in a way that is considered unpleasant,Humorous,British. Also 'to meet a sticky end'.
Charon,Ferryman of Hades,Neutral,Crosses the rivers Styx and Acheron which divide the world of the living from the world of the dead
Cash in one's chips,To die,"Informal, euphemistic[4]","This idiom refers to the counters in gambling called 'chips', which are exchanged for cash at the end of the game."
Candyman,Supernatural suicide,TV/Movie,"Say 'Candyman' 5 times while looking in a mirror, and the Candyman appears and kills you with his hooked right hand."
Buy the farm,To die,Informal,"A farm owner who had life insurance would effectively, upon dying, 'buy the farm'."
Brown bread,Dead,Slang,Cockney rhyming slang for 'dead'.
Breathe one's last,To die,Literary,
Born asleep,Stillbirth,Neutral,
Blow someone's brains out,To shoot someone in the head,Slang,
Bite the dust,To die or be killed,Informal,Also means 'failed'
Bite the big one,To die,Informal,North American.
Beyond the veil,The mysterious place after death,Neutral,Originally used to refer to the 'veil' that hides the inmost sanctuary of the Temple in Jerusalem. Sometimes refers to just a mysterious place.
Beyond the grave,After death,Neutral,The preposition 'from' is often added before the phrase.
Belly up,Dead,Informal,The position of fish when dead.
At rest,Dead,Polite,
At peace,Dead,Euphemistic,
Assume room temperature,To die,Euphemistic slang,"Used frequently by talk radio host Rush Limbaugh on The Rush Limbaugh Show, generally when a dictator or an avowed enemy of the United States has died. Originally used in his first book, The Way Things Ought to Be. See also Jargon of The Rush Limbaugh Show."
